1state_t,2,3,4,5
1state_Q,5.7367777788915065e-24,1.5582878060975626e-23,3.9605765765853025e-24,2.0100083362504987e-24
1state_dZ0_q0_mean,-1.5818020855894672,-1.56691983023621,-1.5797470554627162,-1.6433637181674219
1state_dZ0_q0_sdev,0.020362142360809812,0.029058576082442084,0.0362003079690758,0.05780898267093097
1state_dgV_q0_mean,-3.013113683649152,-2.921168245258431,-2.9482229026361577,-2.9756328246059462
1state_dgV_q0_sdev,0.36690753496138456,0.3787922880444134,0.3847736840894287,0.3834120054759469
1state_dZ0_q1_mean,-1.5770852890976668,-1.5629544294794506,-1.5764435646586696,-1.6385264245647795
1state_dZ0_q1_sdev,0.01928852946944226,0.02872859350726958,0.03568483202649854,0.05738517041506031
1state_dgV_q1_mean,-3.4966736029985466,-3.463902728195096,-3.473030120814492,-3.4589327347583145
1state_dgV_q1_sdev,0.3419799479336776,0.3513496247869955,0.35683807102227205,0.3560032298011868
2state_t,2,3,4,5
2state_Q,0.9063856808588135,0.9094934879405943,0.9776963386056956,0.8586391534939375
2state_dZ0_q0_mean,-1.5050178290042822,-1.49721735196068,-1.460077772868855,-1.4766245851271496
2state_dZ0_q0_sdev,0.04996280751551431,0.059094163209836244,0.03698612235877886,0.05545828561805087
2state_dgV_q0_mean,-4.392117449870218,-4.363588216383925,-4.523872608670987,-4.418977071044111
2state_dgV_q0_sdev,0.2188913088648022,0.22371398043994672,0.25632653815370493,0.21862836256121687
2state_dZ0_q1_mean,-1.5231797231466595,-1.523690864072134,-1.4777127939511945,-1.4887156875218004
2state_dZ0_q1_sdev,0.05360865904104811,0.07879238828920791,0.04345288031895593,0.05619264301395552
2state_dgV_q1_mean,-3.9656967876771043,-3.9418587136630427,-4.172397208512831,-4.10147928428509
2state_dgV_q1_sdev,0.2161018686121392,0.223583328605938,0.2954643232786095,0.26760110778672713
3state_t,2,3,4,5
3state_Q,0.9590729237403837,0.9641486066993235,0.9767131151518379,0.9646514722937591
3state_dZ0_q0_mean,-1.476914743875238,-1.4924000088995149,-1.4541110919982032,-1.4545637387088861
3state_dZ0_q0_sdev,0.05384408900285784,0.062437178533669584,0.040995278207309666,0.056881651084340096
3state_dgV_q0_mean,-4.438572875187823,-4.431122513627299,-4.5827947152827475,-4.469159473255794
3state_dgV_q0_sdev,0.24386619071172866,0.23646267020565026,0.26193669898822464,0.22305784913774657
3state_dZ0_q1_mean,-1.516723635285165,-1.5267888356948696,-1.4671031528145155,-1.4674723724416614
3state_dZ0_q1_sdev,0.08031624641257101,0.09613808027259017,0.04165771015174127,0.05586244011836967
3state_dgV_q1_mean,-4.03145451562096,-4.049633580346741,-4.180758172936864,-4.111796382349375
3state_dgV_q1_sdev,0.27665764130371295,0.24658873071853732,0.26072218534358305,0.26672292600312486
4state_t,2,3,4,5
4state_Q,0.9852640686735937,0.9827898088884741,0.9864095164820139,0.9691491406510083
4state_dZ0_q0_mean,-1.448970950464932,-1.487680730682626,-1.4587034184456347,-1.4540658115747855
4state_dZ0_q0_sdev,0.0740504371151695,0.09191383059591166,0.08534093897427897,0.06391230578217173
4state_dgV_q0_mean,-4.750078388528979,-4.469644919437587,-4.58412933304765,-4.586707260613544
4state_dgV_q0_sdev,0.5110914392344934,0.5511492009333299,0.46285291093160597,0.2746703053060877
4state_dZ0_q1_mean,-1.5010072487279826,-1.5306948940000102,-1.5196126061809754,-1.4734206241879357
4state_dZ0_q1_sdev,0.08803475268652854,0.1118116727740255,0.14060222330690184,0.07022325729051072
4state_dgV_q1_mean,-4.272491542879104,-4.0043463496371805,-4.049718012609676,-4.180930488668971
4state_dgV_q1_sdev,0.39023106021219395,0.36487279872383055,0.39605838831772,0.28041418193401135
