1state_t,1,2,3,4
1state_Q,8.06767524995553e-24,1.032590463029042e-23,3.960576576532264e-24,3.158268402231354e-11
1state_dZ0_q0_mean,-1.5799127932306374,-1.5875373498069254,-1.5797470543378074,-1.5872956233699549
1state_dZ0_q0_sdev,0.035506136018901416,0.035907567274163,0.036200307950608676,0.035714364953948426
1state_dgV_q0_mean,-3.155675570282804,-2.80741489043265,-2.948222900164185,-3.643751477026819
1state_dgV_q0_sdev,0.29321778988638186,0.336248881054008,0.3847736864336484,0.2806774314529016
1state_dZ0_q1_mean,-1.5766429069297394,-1.5844054347726813,-1.576443563682276,-1.5857889486026782
1state_dZ0_q1_sdev,0.035079919261287534,0.035495079793610364,0.0356848320471494,0.035325320724668666
1state_dgV_q1_mean,-3.6814879905874975,-3.332501952196426,-3.4730301214765356,-3.7237687267550736
1state_dgV_q1_sdev,0.2731273858256298,0.3120323891612369,0.3568380733065018,0.27092196987459
2state_t,1,2,3,4
2state_Q,0.6692052717915308,0.9434128901239265,0.9775686703865415,0.9395533377122979
2state_dZ0_q0_mean,-1.4852820816239092,-1.4752094064263246,-1.4619599723760928,-1.4566328842204508
2state_dZ0_q0_sdev,0.04742325387325243,0.04391055838962522,0.03691497237172492,0.03677987604831811
2state_dgV_q0_mean,-4.371387258015339,-4.370332222679067,-4.4166045118088615,-4.456072269829623
2state_dgV_q0_sdev,0.19167660033711673,0.19128071281335532,0.22347653468800688,0.2199174358696219
2state_dZ0_q1_mean,-1.4893656377198212,-1.4837100553387272,-1.470795172321594,-1.4663659040601165
2state_dZ0_q1_sdev,0.0421838660969267,0.04260285661885405,0.0356945350462416,0.03647189723939683
2state_dgV_q1_mean,-3.944626001703542,-3.931207236347208,-4.006528280179508,-4.06510749819776
2state_dgV_q1_sdev,0.17831927916502144,0.18196730033524774,0.21811584223945069,0.2248466654167806
3state_t,1,2,3,4
3state_Q,0.6692052717903817,0.9434128901239973,0.9775686703865479,0.9395533377123269
3state_dZ0_q0_mean,-1.4852820798214914,-1.4752094042409514,-1.4619599731305335,-1.456632884924497
3state_dZ0_q0_sdev,0.04742325315674773,0.043910553874183855,0.03691497295421385,0.03677987625387898
3state_dgV_q0_mean,-4.371387259032862,-4.37033222226297,-4.416604512026716,-4.456072270920174
3state_dgV_q0_sdev,0.19167659703215667,0.19128071185952158,0.22347653693422662,0.21991743591614035
3state_dZ0_q1_mean,-1.4893656352907578,-1.4837100552722187,-1.470795172968801,-1.4663659048185642
3state_dZ0_q1_sdev,0.04218386526922734,0.04260285541597649,0.03569453553686008,0.0364718974788878
3state_dgV_q1_mean,-3.944626010796338,-3.9312072393770685,-4.006528272039697,-4.065107499165718
3state_dgV_q1_sdev,0.17831927441422885,0.1819672989591772,0.21811584697170028,0.22484666639864553
4state_t,1,2,3,4
4state_Q,0.6692052717903817,0.9434128901239973,0.9775686703865479,0.9395533377123269
4state_dZ0_q0_mean,-1.4852820798214914,-1.4752094042409514,-1.4619599731305335,-1.456632884924497
4state_dZ0_q0_sdev,0.047423253156871646,0.04391055389425338,0.036914972953229534,0.036779876256548515
4state_dgV_q0_mean,-4.371387259032862,-4.37033222226297,-4.416604512026716,-4.456072270920174
4state_dgV_q0_sdev,0.19167659703142637,0.19128071186088222,0.22347653693046654,0.21991743591626556
4state_dZ0_q1_mean,-1.4893656352907578,-1.4837100552722187,-1.470795172968801,-1.4663659048185642
4state_dZ0_q1_sdev,0.042183865278082516,0.04260285538389884,0.03569453551658199,0.036471897481185934
4state_dgV_q1_mean,-3.944626010796338,-3.9312072393770685,-4.006528272039697,-4.065107499165718
4state_dgV_q1_sdev,0.17831927440997053,0.1819672989608323,0.21811584697504388,0.22484666639768158
