1state_t,1,2,3,4
1state_Q,1.9180418834000333e-26,4.890717193102662e-24,3.9605765763690645e-24,1.5751174963883428e-10
1state_dZ0_q0_mean,-1.5946146288239331,-1.5919957503093147,-1.579746988167556,-1.5699682865100613
1state_dZ0_q0_sdev,0.03545058958470295,0.03593716208760958,0.03620030798379373,0.03603224526125737
1state_dgV_q0_mean,-3.1209866028552566,-2.85958211696136,-2.9482227613934464,-3.6899152121624708
1state_dgV_q0_sdev,0.3041448926943876,0.338094716650557,0.3847738179976093,0.2771148626453542
1state_dZ0_q1_mean,-1.587925171754344,-1.5866371005691955,-1.5764435062450617,-1.571255758170417
1state_dZ0_q1_sdev,0.035185089421417515,0.03560684035030553,0.03568483198047961,0.03546602008780179
1state_dgV_q1_mean,-3.504121701281885,-3.3321767678951857,-3.473030164804487,-3.8552882846358267
1state_dgV_q1_sdev,0.27284775125893024,0.30819777912828944,0.3568381982797375,0.26244693755052
2state_t,1,2,3,4
2state_Q,0.41772472730978766,0.9314412513102022,0.9775686703864178,0.975406174543267
2state_dZ0_q0_mean,-1.5058515836496995,-1.4723303877513585,-1.4619600249961704,-1.4568364923142036
2state_dZ0_q0_sdev,0.057104972989532474,0.03551707300349138,0.03691497342192947,0.03643196573021918
2state_dgV_q0_mean,-4.168252439289895,-4.326500927006106,-4.416604405020894,-4.56627532359079
2state_dgV_q0_sdev,0.19296280108979122,0.19026361597920408,0.22347655992623203,0.22142270970755668
2state_dZ0_q1_mean,-1.5089429614299668,-1.484538528884456,-1.470795218219707,-1.4669368805785805
2state_dZ0_q1_sdev,0.050736603489568155,0.03943286870583279,0.035694535923850954,0.03592818564268951
2state_dgV_q1_mean,-3.797517448891542,-3.9952128819572055,-4.006528180432702,-4.161284985186545
2state_dgV_q1_sdev,0.17410487334588415,0.23943374057038286,0.2181158779821578,0.21859276500934605
3state_t,1,2,3,4
3state_Q,0.9818816334776153,0.9314412513090298,0.9775686703863974,0.9754061745431919
3state_dZ0_q0_mean,-1.4777671762645783,-1.4723303869458195,-1.4619600250920066,-1.456836495771092
3state_dZ0_q0_sdev,0.05437841081737221,0.03551707308627933,0.036914973143101514,0.03643196575246359
3state_dgV_q0_mean,-4.447830163749866,-4.326500928854864,-4.416604412329495,-4.566275327722143
3state_dgV_q0_sdev,0.21253485236183367,0.19026361590030388,0.2234765541688543,0.22142270962324453
3state_dZ0_q1_mean,-1.4940879750528306,-1.4845385282193155,-1.4707952181152306,-1.4669368837772943
3state_dZ0_q1_sdev,0.055442266275636504,0.03943286886755972,0.03569453562833778,0.03592818468050631
3state_dgV_q1_mean,-4.054312994301273,-3.995212883923802,-4.006528179928941,-4.16128497773577
3state_dgV_q1_sdev,0.22397072622021755,0.23943374142525903,0.21811587121611287,0.21859276172030281
4state_t,1,2,3,4
4state_Q,0.9818816334776159,0.9934785211362408,0.9775686703864,0.9754061745431919
4state_dZ0_q0_mean,-1.4777671762645783,-1.4647978833104667,-1.4619600250920066,-1.456836495771092
4state_dZ0_q0_sdev,0.05437841080746263,0.06909212902012386,0.03691497320422115,0.03643196576256004
4state_dgV_q0_mean,-4.447830163749866,-4.661718380671867,-4.416604412329495,-4.566275327722143
4state_dgV_q0_sdev,0.21253485236413436,0.36544205523507955,0.22347655418932963,0.2214227096347481
4state_dZ0_q1_mean,-1.4940879750528306,-1.5164830869574004,-1.4707952181152306,-1.4669368837772943
4state_dZ0_q1_sdev,0.05544226629705073,0.1213950441813075,0.03569453567036171,0.03592818468877371
4state_dgV_q1_mean,-4.054312994301273,-4.212587401418201,-4.006528179928941,-4.16128497773577
4state_dgV_q1_sdev,0.2239707262523309,0.44948704803011136,0.21811587125246684,0.21859276172202663
