1state_t,2,3,4,5,6
1state_Q,3.0034865733991242e-25,2.58516924662625e-24,9.60698021827956e-25,3.9605765745111516e-24,0.763913742800743
1state_dZ0_q0_mean,-1.5757579234487311,-1.5635522477529493,-1.5750558387464892,-1.5797469143242988,-1.4806723266544264
1state_dZ0_q0_sdev,0.02375555749333646,0.029653259528740226,0.03568998222942912,0.036200309658232205,0.03728963621751361
1state_dgV_q0_mean,-3.0909969081467845,-2.959897099496388,-3.0146145363010155,-2.9482216205041953,-4.410613513065869
1state_dgV_q0_sdev,0.39270256522492786,0.40389839131075567,0.40554975213797223,0.38477444857322374,0.21941649484101872
1state_dZ0_q1_mean,-1.5824246372186797,-1.567614966568818,-1.577563346563846,-1.5764434429488325,-1.4970169971193379
1state_dZ0_q1_sdev,0.02615695824214389,0.030884269380253574,0.03594762495773949,0.03568483333449406,0.034503671821453974
1state_dgV_q1_mean,-3.593035472368632,-3.523100028499823,-3.560358919737646,-3.473029604531729,-4.015524739944298
1state_dgV_q1_sdev,0.3669864013612666,0.3750830827936775,0.37768629538893583,0.3568387676270547,0.21081998340857605
2state_t,2,3,4,5,6
2state_Q,0.9479700346911856,0.49556820106147914,0.7620653064273223,0.9022414364072364,0.8881957854686818
2state_dZ0_q0_mean,-1.4417647408050476,-1.4934559533640621,-1.4732858575845644,-1.4714806517047114,-1.4799916884427748
2state_dZ0_q0_sdev,0.061166991092357945,0.029046313793099406,0.035283018169069556,0.035887465800493054,0.05163704501187534
2state_dgV_q0_mean,-4.3794344535281855,-4.3843459124335835,-4.476465105932607,-4.414154483460682,-4.4263966066164695
2state_dgV_q0_sdev,0.21719132018272183,0.2218650819710255,0.22000669687490348,0.21798507545664625,0.21937160777702833
2state_dZ0_q1_mean,-1.4564661219379025,-1.505252618883881,-1.4857160103066005,-1.4809583082413245,-1.49358703594573
2state_dZ0_q1_sdev,0.06314817207187341,0.02987958549486858,0.035091389044554167,0.035074413970504384,0.050858735304552836
2state_dgV_q1_mean,-3.9509718962740217,-4.060060059092153,-4.128054184398675,-4.083633166504078,-4.0329317079608575
2state_dgV_q1_sdev,0.21144198151404706,0.22565481615650312,0.22098626505992516,0.24927269129597873,0.20994924968207046
3state_t,2,3,4,5,6
3state_Q,0.9757910426482811,0.9647296846800663,0.9849529733351582,0.9496829318145323,0.9655794499690296
3state_dZ0_q0_mean,-1.4234127076147254,-1.4495301432833039,-1.4554881780259303,-1.4550646996359382,-1.437512473519677
3state_dZ0_q0_sdev,0.06746035893213627,0.06500502249879955,0.03586116217083135,0.03737539146956821,0.05808911152662789
3state_dgV_q0_mean,-4.409751427733543,-4.396184222317647,-4.430153059846225,-4.44630261183209,-4.538840931701242
3state_dgV_q0_sdev,0.22684598347230783,0.22820755287938002,0.2203649634821585,0.22370686294097827,0.2758663047752579
3state_dZ0_q1_mean,-1.4378025094461366,-1.4593374727309456,-1.468103230167391,-1.4647529479585089,-1.448259772105202
3state_dZ0_q1_sdev,0.07009429445840161,0.06550061853848736,0.035476917484906244,0.036377111786077165,0.06029480711555388
3state_dgV_q1_mean,-4.00184342999293,-3.995955456345014,-4.0180723168983175,-4.050449854740661,-4.18617484394831
3state_dgV_q1_sdev,0.22025199744575316,0.2215340280199073,0.2120208469983138,0.21730708340471144,0.34537180352302277
4state_t,2,3,4,5,6
4state_Q,0.9757910426463655,0.9647296847100317,0.9872134865777838,0.9499146043523944,0.9655794499611277
4state_dZ0_q0_mean,-1.4234119039664255,-1.4495290372347356,-1.451607744538328,-1.4545874459374042,-1.4375128194511764
4state_dZ0_q0_sdev,0.06746128993940707,0.06500594388951482,0.03615243419418681,0.03745086678708195,0.05808924527638092
4state_dgV_q0_mean,-4.409751586657262,-4.396184430902417,-4.5039243708412195,-4.445722736698234,-4.538839693337454
4state_dgV_q0_sdev,0.22684699859403573,0.22820824944273227,0.23934415875270396,0.2228124414294151,0.27586555137491486
4state_dZ0_q1_mean,-1.4378016557065112,-1.4593362871715057,-1.4641555894635672,-1.4642735226327876,-1.4482601382474392
4state_dZ0_q1_sdev,0.07009530947194322,0.06550165832101247,0.03573156184423573,0.03644693616670228,0.060294985216278844
4state_dgV_q1_mean,-4.0018430317264055,-3.9959555905630135,-4.087666172994832,-4.057204555881535,-4.186173761780963
4state_dgV_q1_sdev,0.220252458467971,0.22153448027341177,0.23052515395491494,0.21628252873937012,0.3453713785645509


