1state_t,1,2,3,4
1state_Q,8.067675249034724e-24,1.0325904626298441e-23,3.9605765732868426e-24,3.158268401785995e-11
1state_dZ0_q0_mean,-1.5799127569832452,-1.587537173764899,-1.5797469143236973,-1.5872955438128806
1state_dZ0_q0_sdev,0.035506136176359594,0.03590756708319437,0.03620030964228534,0.035714364612280926
1state_dgV_q0_mean,-3.155675607348921,-2.8074149841605984,-2.9482216205102962,-3.6437520059395063
1state_dgV_q0_sdev,0.2932178115955259,0.3362490039560295,0.38477444870659494,0.2806773324492582
1state_dZ0_q1_mean,-1.5766428753292874,-1.5844052810109621,-1.5764434429482939,-1.5857888812592504
1state_dZ0_q1_sdev,0.03507991934644783,0.03549507931849198,0.03568483335178682,0.03532532049443748
1state_dgV_q1_mean,-3.681488088180612,-3.332502333912139,-3.4730296045347884,-3.7237691452406465
1state_dgV_q1_sdev,0.27312740912600236,0.31203251702738144,0.35683876767950506,0.27092188811464846
2state_t,1,2,3,4
2state_Q,0.47733812767985057,0.8851281245312257,0.9022414366402289,0.9380815155029292
2state_dZ0_q0_mean,-1.4770420881921469,-1.4773863227280257,-1.4714807039957396,-1.456604470571014
2state_dZ0_q0_sdev,0.03545558671246777,0.03531239215400135,0.03588747431401415,0.03678965979430846
2state_dgV_q0_mean,-4.411104060185221,-4.3712531569967,-4.414153855298793,-4.452474068715855
2state_dgV_q0_sdev,0.18814219877947683,0.19108043507030095,0.2179850904113325,0.21973599481578668
2state_dZ0_q1_mean,-1.4877780625562627,-1.4870916511745327,-1.480958361865643,-1.465656714326578
2state_dZ0_q1_sdev,0.03466715258316861,0.03456328243978455,0.03507443918125233,0.03578756028167422
2state_dgV_q1_mean,-4.066679210298115,-4.018179236716124,-4.083632870081166,-4.05414453976024
2state_dgV_q1_sdev,0.19706589190911844,0.22824914112323694,0.24927609451825827,0.22143031912781366
3state_t,1,2,3,4
3state_Q,0.9614684780967957,0.9754987072976954,0.9496829318125285,0.9577213612926848
3state_dZ0_q0_mean,-1.4596101364413059,-1.4659448401118829,-1.4550646996359518,-1.461063932540759
3state_dZ0_q0_sdev,0.03565021352091402,0.036906274554448885,0.037375391378763057,0.039786916618222465
3state_dgV_q0_mean,-4.43558325668368,-4.484733828738944,-4.446302611832109,-4.487582525049706
3state_dgV_q0_sdev,0.18973611370239782,0.20361469380527558,0.22370686287062538,0.28414022492986485
3state_dZ0_q1_mean,-1.470408642018299,-1.4760541125941662,-1.4647529479585009,-1.4685079675656376
3state_dZ0_q1_sdev,0.034748131056113005,0.036316595462634216,0.03637711171323049,0.03700688765213015
3state_dgV_q1_mean,-4.039646438293753,-4.1020321883487165,-4.0504498547406405,-3.947494817560001
3state_dgV_q1_sdev,0.19231998487854182,0.25003639036555025,0.21730708334743493,0.36154026305627324
4state_t,1,2,3,4
4state_Q,0.9614684780935503,0.9731983915668854,0.9499146043528631,0.957721361291985
4state_dZ0_q0_mean,-1.4596101693619399,-1.4685759578404722,-1.4545874459374029,-1.461063935379633
4state_dZ0_q0_sdev,0.03565021491035034,0.03679923468778575,0.03745086677607004,0.039786910093640514
4state_dgV_q0_mean,-4.435582518955107,-4.4626363037106564,-4.445722736698225,-4.487582756464434
4state_dgV_q0_sdev,0.18973596587416725,0.2035393030697711,0.22281244139688455,0.2841401473663591
4state_dZ0_q1_mean,-1.4704086620598757,-1.4785252795444193,-1.4642735226327892,-1.46850797001201
4state_dZ0_q1_sdev,0.034748131734118635,0.03642031383946056,0.036446936134525335,0.03700688119971545
4state_dgV_q1_mean,-4.039644538129968,-4.091245880250535,-4.057204555881541,-3.94749499269911
4state_dgV_q1_sdev,0.1923193797436354,0.2724680412616887,0.21628252868945708,0.3615401160771894
