1state_t,1,2,3,4,5
1state_Q,1.5907285771462194e-23,1.5025548537529515e-24,6.07166508021223e-25,3.9605765745111516e-24,8.191905378070583e-25
1state_dZ0_q0_mean,-1.5814694256504112,-1.5800106594002703,-1.580875660538095,-1.5797469143242988,-1.584134107590437
1state_dZ0_q0_sdev,0.03515374544453533,0.03620469518513789,0.03605648135001535,0.036200309658232205,0.037775572958116246
1state_dgV_q0_mean,-2.9596912832988655,-3.1328085864171,-3.136405409327652,-2.9482216205041953,-2.853592912594345
1state_dgV_q0_sdev,0.33339926190318064,0.3589416829586474,0.3669914834911499,0.38477444857322374,0.4070741515071193
1state_dZ0_q1_mean,-1.57639810759256,-1.5751919514121675,-1.5780032927501098,-1.5764434429488325,-1.5798178769845237
1state_dZ0_q1_sdev,0.034683869695318524,0.03564251918964442,0.0355217019893964,0.03568483333449406,0.037206007486923424
1state_dgV_q1_mean,-3.477475997946619,-3.6647688702072396,-3.662556404510916,-3.473029604531729,-3.42457167307606
1state_dgV_q1_sdev,0.305779817277734,0.34081570563195873,0.3439728011754795,0.3568387676270547,0.37067284615445895
2state_t,1,2,3,4,5
2state_Q,0.6394833627314778,0.7854425522212013,0.7920027213538042,0.9022414374765837,0.9349108197406033
2state_dZ0_q0_mean,-1.4880289447531465,-1.4743967040802581,-1.4734786146781882,-1.4714807043971676,-1.4550019854160532
2state_dZ0_q0_sdev,0.034961453822491995,0.03573817737963917,0.03564518120236909,0.03588747541982337,0.038648940886513654
2state_dgV_q0_mean,-4.085330011050392,-4.138683900945197,-4.215196776797297,-4.414153572389263,-4.419112087879146
2state_dgV_q0_sdev,0.19114837881185273,0.19933628855579286,0.2086625709022641,0.2179850866609811,0.22324654115898337
2state_dZ0_q1_mean,-1.497447424921325,-1.483328779893043,-1.4816369316310845,-1.4809583586190966,-1.464734049657585
2state_dZ0_q1_sdev,0.034137725187610345,0.034890127592737685,0.034825908761997336,0.03507443844446874,0.03724857285499906
2state_dgV_q1_mean,-3.8042160801238394,-3.8533213128669255,-3.9310537395519596,-4.0836315711252436,-4.013756351841882
2state_dgV_q1_sdev,0.2130087998020145,0.24644717571969987,0.2448475516154487,0.24927457562634028,0.21284354892890578
3state_t,1,2,3,4,5
3state_Q,2.8585684026138817e-15,0.9448743194528619,1.3556104289359431e-05,0.9496829318126496,0.9572186202062627
3state_dZ0_q0_mean,-1.467694279460334,-1.4629711180672935,-1.4551993754323094,-1.4550646996359513,-1.473023940538024
3state_dZ0_q0_sdev,0.03991843720295972,0.04085618043778549,0.051620199684925656,0.037375391435268183,0.04758585776497492
3state_dgV_q0_mean,-4.20826910460187,-4.316119262299774,-4.257530689202063,-4.4463026118321105,-4.581667556581084
3state_dgV_q0_sdev,0.2228628644072456,0.2285030644407769,0.21389722623267846,0.22370686281398452,0.26683847016873674
3state_dZ0_q1_mean,-1.4769505232517026,-1.4727459341080733,-1.463892049408051,-1.4647529479585006,-1.4771389665146057
3state_dZ0_q1_sdev,0.038965230511471195,0.03941021868076047,0.049434325199605646,0.03637711177224408,0.04928779043548604
3state_dgV_q1_mean,-3.8566489048174692,-3.9916924906353435,-3.903659378703546,-4.050449854740642,-4.192049016157946
3state_dgV_q1_sdev,0.21572313891401715,0.30914814004127206,0.20736248851320283,0.21730708327379444,0.3335000407631877
4state_t,1,2,3,4,5
4state_Q,0.9348982268595618,0.9448743194869816,0.9394431918226377,0.9499146043525359,0.9572186202246643
4state_dZ0_q0_mean,-1.474901018181216,-1.4629713317950543,-1.4611160082053098,-1.4545874459374037,-1.4730237395466343
4state_dZ0_q0_sdev,0.03987894701275532,0.0408561380290834,0.04264617867403397,0.03745086677864683,0.047585621123750164
4state_dgV_q0_mean,-4.3417146820048815,-4.316121052190889,-4.446841948358968,-4.445722736698236,-4.581668468049203
4state_dgV_q0_sdev,0.2186766449936778,0.22850330503545327,0.2733399808971808,0.2228124414658736,0.26683777828266664
4state_dZ0_q1_mean,-1.4830914092939824,-1.472746121994879,-1.4702476043510502,-1.4642735226327892,-1.477138728170593
4state_dZ0_q1_sdev,0.03862046152688286,0.03941020214692839,0.041095828000300906,0.03644693616002687,0.04928774351854744
4state_dgV_q1_mean,-4.037845259202848,-3.9916948268169152,-4.011605645022872,-4.05720455588154,-4.192052338645343
4state_dgV_q1_sdev,0.25235417748337946,0.30914994183932093,0.24505697232952733,0.2162825287668796,0.33350336152474835
