1state_t,2,3,4,5,6,7
1state_Q,4.203281691129925e-10,2.997946804012385e-25,7.22770968439088e-26,1.6248056413149624e-31,2.047298125922695e-31,1.6879102947874442e-35
1state_dZ0_q0_mean,-1.5457246673869216,-1.556462127659699,-1.553340093119862,-1.5770983406342012,-1.584483158534373,-1.595056126881349
1state_dZ0_q0_sdev,0.019546171362718846,0.008236319737513416,0.0032851060583103655,0.020313580241365904,0.00410091808885695,0.019445097985936258
1state_dgV_q0_mean,-3.721492892417416,-3.134522363530501,-2.997761958538807,-2.7445937470392763,-2.8848485703944715,-2.9089556951541526
1state_dgV_q0_sdev,0.12173419650893567,0.18363398363979364,0.06182035918841236,0.07125236093278478,0.053322118090997205,0.21967832264570536
1state_dZ0_q1_mean,-1.5523143413185247,-1.56316709297082,-1.5589454708849326,-1.5790595190792707,-1.5868711970129366,-1.596194304177042
1state_dZ0_q1_sdev,0.0208968588191036,0.009640879070754425,0.0037190665282922667,0.021419746653512164,0.004112548320139351,0.0208409546009085
1state_dgV_q1_mean,-3.5372747539136133,-3.3591863652878846,-3.2904696824156576,-3.2830520625073474,-3.381294806329402,-3.3300933011003893
1state_dgV_q1_sdev,0.0942947929624906,0.1706562745339712,0.057699753137949436,0.06351789586264797,0.04990478131944565,0.20731110224608335
2state_t,2,3,4,5,6,7
2state_Q,0.9584175101522662,0.934986818771656,0.9064311001251598,0.8883409456210994,0.8191516840771774,0.43015114088021317
2state_dZ0_q0_mean,-1.4766558408333983,-1.4800961991450374,-1.4856025466679372,-1.4901525524016868,-1.4913240154418488,-1.49447704697328
2state_dZ0_q0_sdev,0.019891173414912266,0.00245972340510465,0.00468427839123685,0.009038744502224784,0.007097059706504454,0.013199421238788573
2state_dgV_q0_mean,-4.375453134902497,-4.257239546892917,-4.272079955908818,-4.174922433677213,-4.2274119836766255,-4.17839196622525
2state_dgV_q0_sdev,0.07407162356080399,0.050094426488280386,0.045711839808777285,0.09860069243715644,0.09104903612634468,0.06367555491025143
2state_dZ0_q1_mean,-1.4874293268556202,-1.4901008383910221,-1.495270776096529,-1.5001034988954285,-1.5026775280860873,-1.5047717182580846
2state_dZ0_q1_sdev,0.020534797298469014,0.0026236266835388752,0.0050567644835392426,0.00979366305522774,0.007642703291429401,0.014668851804524775
2state_dgV_q1_mean,-3.9069764568062406,-3.830165549051969,-3.8812324766975874,-3.7929315200405767,-3.8258705513995217,-3.691913830413633
2state_dgV_q1_sdev,0.058289144549049814,0.05044003190927217,0.04317252494301629,0.11522760235536232,0.09657778631452343,0.04488483017887809
3state_t,2,3,4,5,6,7
3state_Q,0.9999857044522847,0.9803084190859153,0.9479043421802539,0.9200674531356773,5.586096100364046e-72,6.992438101599595e-142
3state_dZ0_q0_mean,-1.4612887832677137,-1.4931296907353613,-1.4840025969722408,-1.478247948477325,-1.51749315794036,-1.4912434195364819
3state_dZ0_q0_sdev,0.02444179173519864,0.02702462484691068,0.033230880222337084,0.01509466021393723,0.001778867113332813,0.016352229405747886
3state_dgV_q0_mean,-4.711321400393587,-4.338193199990589,-4.2368570273555335,-4.199229859378492,-4.115719345440452,-4.1937166543452
3state_dgV_q0_sdev,0.1393951818806863,0.18187022890849347,0.19118807676123273,0.08240485563421475,0.04611762821380022,0.18796167739911415
3state_dZ0_q1_mean,-1.4752825311917264,-1.502385245440953,-1.4942203738334547,-1.4884250261688392,-1.5183864077595528,-1.5027851156306944
3state_dZ0_q1_sdev,0.023616574746143124,0.028435247906555668,0.033320244305790794,0.016292799547137932,0.0018037856622020207,0.015519954932429667
3state_dgV_q1_mean,-4.134571419551228,-3.87005157681162,-3.8118017810281035,-3.8368677567834752,-3.699000930652976,-3.8391201197789644
3state_dgV_q1_sdev,0.1345097819281451,0.16408032822695295,0.17164276265813352,0.06931084396772516,0.052646473771083946,0.172257723948863
