1state_t,1,2,3,4,5,6
1state_Q,8.085801072279844e-38,5.889387127643341e-29,1.0825943889921178e-25,7.63609314159158e-26,1.4771222482069964e-25,1.4373712985276718e-25
1state_dZ0_q0_mean,-1.6253062718605702,-1.5649545912080522,-1.5366020681242847,-1.5546823486664914,-1.5688158006712347,-1.5576422262613225
1state_dZ0_q0_sdev,0.0067042161211038976,0.011704400539304544,0.012729858188324214,0.009012886999102658,0.013294308509170731,0.006748007197107967
1state_dgV_q0_mean,-3.135978901381048,-3.035386557378699,-2.9709442070819163,-3.001024865247324,-2.926892675208941,-2.9497286389173296
1state_dgV_q0_sdev,0.05950997036402601,0.05572747583831413,0.05924171967523228,0.056557936416746314,0.056568145509265796,0.06360284127306452
1state_dZ0_q1_mean,-1.6395838845324808,-1.576955011205862,-1.5447251426963224,-1.5605723700415237,-1.5676007977564312,-1.5669737887905668
1state_dZ0_q1_sdev,0.00836806614113134,0.014003837381143303,0.014247030473435136,0.009927422937537542,0.013263543902885963,0.006384382509272065
1state_dgV_q1_mean,-3.2112798534698666,-3.253310421877661,-3.2677238570694733,-3.2892512631430564,-3.2227297924060423,-3.2093947661579176
1state_dgV_q1_sdev,0.059008858568415264,0.04932609462333829,0.05361220341710274,0.05105563097738194,0.04870568347087954,0.057131719071865365
2state_t,1,2,3,4,5,6
2state_Q,0.22709736684792073,0.3608075100873579,0.7671743243006068,0.9111552500299939,0.9324324398841544,0.9111452954962626
2state_dZ0_q0_mean,-1.4790642670476724,-1.5030072924420044,-1.4938747166233877,-1.4859873576754692,-1.5080709473629252,-1.4921576375868693
2state_dZ0_q0_sdev,0.0014633473379346302,0.013721517370761485,0.003274639089816568,0.004341494921794295,0.007577292299506024,0.024524781653634253
2state_dgV_q0_mean,-4.221258373189117,-4.259453896684838,-4.235444007667106,-4.283124701373377,-4.315172445397036,-4.316568682727077
2state_dgV_q0_sdev,0.04220004991575212,0.06247101808717055,0.04224570071981966,0.04209639958362054,0.05743566781599812,0.061665868171495344
2state_dZ0_q1_mean,-1.4948375068030746,-1.51629023259828,-1.5038921417980813,-1.49573004362272,-1.5138993901947517,-1.5034028377737845
2state_dZ0_q1_sdev,0.0017119642903001466,0.015517114165097332,0.003651972451024142,0.004493898493239643,0.007751106572251403,0.02331293122997844
2state_dgV_q1_mean,-3.9445466536687297,-3.85677075415421,-3.884004288522118,-3.889124826090435,-3.9162415429315782,-3.9248571487682606
2state_dgV_q1_sdev,0.048364732076878,0.06452937646881308,0.04106619614309619,0.04132246962060836,0.052602059785839865,0.04836325394773435
3state_t,1,2,3,4,5,6
3state_Q,0.9711380330145651,0.957827201513204,0.9607194420289156,0.9571600660146714,0.9707070579963424,1.9685244927375333e-171
3state_dZ0_q0_mean,-1.4908290676810079,-1.5192292940845862,-1.5098421600340182,-1.4823870586515642,-1.5094120969646538,-1.4556449030072858
3state_dZ0_q0_sdev,0.004613433737532052,0.006989706361263082,0.01628938014363427,0.018569577113498905,0.019811969366151018,0.03691218557131516
3state_dgV_q0_mean,-4.2927278858807085,-4.287076311435987,-4.190495268810467,-4.242280556076875,-4.251995180276392,-4.429397332501967
3state_dgV_q0_sdev,0.04231796191371934,0.06982762545345131,0.09908783726246059,0.08198979441061563,0.062011226702404915,0.18361267548832977
3state_dZ0_q1_mean,-1.5010071285042863,-1.5268473086246575,-1.5134888265407558,-1.4923126033800036,-1.5152314347120566,-1.4716234138300368
3state_dZ0_q1_sdev,0.005446508290524186,0.0073247419493294875,0.017012764937040497,0.01873266247121861,0.0202633963727602,0.03367224257114005
3state_dgV_q1_mean,-3.8914317656365043,-3.8551024129647615,-3.778481637479205,-3.821830562134511,-3.8248976305237927,-3.956702774483725
3state_dgV_q1_sdev,0.04306406090686508,0.0652809021145418,0.08740143311532005,0.07345096387529652,0.06315077154949698,0.1731991542814395
