1state_t,1,2,3,4,5,6
1state_Q,1.2895294859514577e-39,4.226442813502559e-29,1.0623507385359587e-25,7.63609314159158e-26,9.765798531306479e-26,1.4837291422416295e-25
1state_dZ0_q0_mean,-1.573736329678978,-1.5498481841279266,-1.5339215106243684,-1.5546823486664914,-1.549438403410773,-1.5714880625462446
1state_dZ0_q0_sdev,0.004639046116820878,0.012617080860337165,0.005307802700083765,0.009012886999102658,0.007686542161537994,0.005077764702205628
1state_dgV_q0_mean,-2.82160203886228,-2.886585710499021,-2.8749093940549098,-3.001024865247324,-2.9295213191652176,-2.8909671504431578
1state_dgV_q0_sdev,0.06793133658261175,0.0647968817819854,0.05630782565104602,0.056557936416746314,0.0556408112388175,0.2043540428258099
1state_dZ0_q1_mean,-1.5680890300020167,-1.5510022742062424,-1.5364594218493102,-1.5605723700415237,-1.5517435990471158,-1.584703580603631
1state_dZ0_q1_sdev,0.004194819223340747,0.01281997715250959,0.005716191632812243,0.009927422937537542,0.008856196948713395,0.006285130428758476
1state_dgV_q1_mean,-3.008158815185636,-3.155553575345757,-3.2145156956047565,-3.2892512631430564,-3.2186577043320406,-3.145682718185822
1state_dgV_q1_sdev,0.060919521833960884,0.06152177661426561,0.05152175453766051,0.05105563097738194,0.05120303371257344,0.18509445825755552
2state_t,1,2,3,4,5,6
2state_Q,3.966786863776517e-11,0.3666622837396239,0.9142655758357608,0.9136355972476725,0.9428447624535625,0.9157741359899606
2state_dZ0_q0_mean,-1.555363479178803,-1.4878710404235038,-1.4971052209417683,-1.4848308705042654,-1.4868229714390415,-1.4887553230080135
2state_dZ0_q0_sdev,0.010435548666123734,0.013441352938398187,0.007960737354684068,0.0033478918842712382,0.012626425038344088,0.009125131507966013
2state_dgV_q0_mean,-4.224911880504279,-4.210734173445265,-4.225358378455365,-4.277730354416593,-4.293622101158827,-4.308850828028588
2state_dgV_q0_sdev,0.16442790197145446,0.05860650630907679,0.0954350598695331,0.06361669946039475,0.058165932104609054,0.10334348078036092
2state_dZ0_q1_mean,-1.551283347031777,-1.4922499634224116,-1.5042558274945645,-1.4943795700929203,-1.4915719930797542,-1.4958157025594747
2state_dZ0_q1_sdev,0.01001590587932471,0.013224447117159257,0.008307860555986759,0.003562237078178038,0.014833096821622113,0.011529254410927246
2state_dgV_q1_mean,-3.8639778792790302,-3.8562328439832196,-3.845538296287063,-3.8837613435499967,-3.899377911904152,-3.9164307799864595
2state_dgV_q1_sdev,0.14756623314950623,0.061786902473084535,0.07648434818446345,0.06250849539829832,0.06779787179033094,0.08688459670315632
3state_t,1,2,3,4,5,6
3state_Q,0.9677618671200142,0.9421331244193739,0.986047561756688,0.9544251126937026,0.9108396828203867,0.5352705211043056
3state_dZ0_q0_mean,-1.5067290974182121,-1.5058284711382632,-1.4976716814156397,-1.4824887399725488,-1.4724360243870387,-1.4761152628355088
3state_dZ0_q0_sdev,0.0036299364818264406,0.0041810411180807205,0.011251092547897018,0.018779666469385607,0.034717674850607685,0.01069277626012025
3state_dgV_q0_mean,-4.262950332351908,-4.2661012062265575,-4.173992788519545,-4.242954575649598,-4.246288228849158,-4.242178740197454
3state_dgV_q0_sdev,0.056611784697957225,0.04924963100559048,0.0707862086871215,0.08354752108762009,0.18822730236519744,0.10009272598683058
3state_dZ0_q1_mean,-1.5141330694726562,-1.5120373361652157,-1.5047739892087455,-1.4924093818534654,-1.4772302304380986,-1.4782821962571528
3state_dZ0_q1_sdev,0.003706528582047612,0.004232183369838043,0.011699448989321355,0.018884550753219077,0.036240287310731506,0.012776081107350802
3state_dgV_q1_mean,-3.837153547108946,-3.8464172556815943,-3.7917714803884337,-3.822452749082388,-3.8549160994232783,-3.8796729270912738
3state_dgV_q1_sdev,0.04813478569026995,0.04758557991759576,0.06241438934028438,0.07420620924452069,0.17270614472599527,0.06716855740442884
