1state_t,1,2,3,4,5
1state_Q,5.246042599052598e-24,6.665921669882141e-25,1.0645058556334677e-23,3.960576576166421e-24,3.0640446401252527e-25
1state_dZ0_q0_mean,-1.574411357582388,-1.577947642789871,-1.576253173499717,-1.579747039083745,-1.569424570793871
1state_dZ0_q0_sdev,0.035698280480306155,0.03627302139842412,0.03596420672543272,0.03620030800249144,0.03721192177415888
1state_dgV_q0_mean,-2.9684330479274013,-2.8918620164054527,-3.0272748835402346,-2.9482228661935883,-2.9279913817043295
1state_dgV_q0_sdev,0.37487957554705986,0.3963132664217836,0.3807554182898462,0.38477371779121783,0.38552114584128455
1state_dZ0_q1_mean,-1.570671082421076,-1.574647986603608,-1.5744877179023684,-1.5764435504429757,-1.5668956375224472
1state_dZ0_q1_sdev,0.03509768279312213,0.03570658891064288,0.0354197795163386,0.03568483207386533,0.03679883568527591
1state_dgV_q1_mean,-3.5205169715308053,-3.4564616882693757,-3.567446823188332,-3.473030130213258,-3.4383551838402506
1state_dgV_q1_sdev,0.34889346086386114,0.36733291459307155,0.35526163342670997,0.35683810292308465,0.35691954403861226
2state_t,1,2,3,4,5
2state_Q,0.9406031306047752,0.9637204296107019,0.9798338713286762,0.9775686703865791,0.9336049583059238
2state_dZ0_q0_mean,-1.4785457174093275,-1.4624799781231668,-1.4602893108156014,-1.4619599508709535,-1.4580280394666303
2state_dZ0_q0_sdev,0.03641483899847793,0.03667076185743572,0.06193121433601406,0.03691497432829811,0.03677881649332452
2state_dgV_q0_mean,-4.362248500990566,-4.379705690645075,-4.477875847706576,-4.416604548142753,-4.424288480757425
2state_dgV_q0_sdev,0.22366716761387803,0.2239848950694636,0.23694855623588296,0.2234765388013817,0.21966186218038358
2state_dZ0_q1_mean,-1.4866717308688284,-1.471059078887975,-1.5212015840538142,-1.470795153387974,-1.4683359000170764
2state_dZ0_q1_sdev,0.0350250171380181,0.035268808483225916,0.12782438324729967,0.035694536757713405,0.03799963962886677
2state_dgV_q1_mean,-3.974726960673338,-3.9711052115538976,-4.052273673252169,-4.006528286498527,-4.04001775210463
2state_dgV_q1_sdev,0.21243838178268898,0.21310416038000446,0.26600861930124536,0.21811585341398826,0.22566518838495778
3state_t,1,2,3,4,5
3state_Q,0.940603130604614,0.9970682992951676,0.9798338713287187,0.9775686703865378,0.9336049583061116
3state_dZ0_q0_mean,-1.478545721519853,-1.4547607933926945,-1.4602893110446578,-1.4619599506525278,-1.4580280394718557
3state_dZ0_q0_sdev,0.03641484037595948,0.0814455346229301,0.0619312144666659,0.036914974121229634,0.036778816535459224
3state_dgV_q0_mean,-4.362248496600179,-4.937622972843526,-4.47787584748395,-4.416604549955466,-4.42428848592003
3state_dgV_q0_sdev,0.22366717215233609,0.5844422673468084,0.23694855539983586,0.22347653739429313,0.21966186117074854
3state_dZ0_q1_mean,-1.486671733797989,-1.4865100633354116,-1.5212015841225308,-1.470795153153042,-1.4683358999829763
3state_dZ0_q1_sdev,0.03502501777225143,0.07690473547771759,0.12782438288498288,0.0356945365649443,0.03799963930759948
3state_dgV_q1_mean,-3.97472693388351,-4.206249428374346,-4.0522736734949945,-4.006528285914237,-4.040017752791991
3state_dgV_q1_sdev,0.21243838837086002,0.6391182005315407,0.26600861936089387,0.21811585122753083,0.22566518251708367
4state_t,1,2,3,4,5
4state_Q,0.940603130604614,0.9970682992951676,0.9798338713287189,0.9775686703865503,0.9336049583061677
4state_dZ0_q0_mean,-1.478545721519853,-1.4547607933926945,-1.4602893110446578,-1.461959950651919,-1.4580280394718557
4state_dZ0_q0_sdev,0.03641484037597822,0.08144553471669885,0.06193121446117506,0.03691497395057308,0.036778816554589214
4state_dgV_q0_mean,-4.362248496600179,-4.937622972843526,-4.47787584748395,-4.416604549955562,-4.42428848592003
4state_dgV_q0_sdev,0.2236671721629931,0.584442267483903,0.2369485554034587,0.22347653737745823,0.2196618611682792
4state_dZ0_q1_mean,-1.486671733797989,-1.4865100633354116,-1.5212015841225308,-1.4707951531524595,-1.4683358999829763
4state_dZ0_q1_sdev,0.035025017772285186,0.0769047353973726,0.12782438279667413,0.03569453636148138,0.037999639343426726
4state_dgV_q1_mean,-3.97472693388351,-4.206249428374346,-4.0522736734949945,-4.006528285914131,-4.040017752791991
4state_dgV_q1_sdev,0.2124383883764296,0.6391182004757512,0.2660086193455786,0.21811585116166637,0.22566518251747406
