1state_t,1,2,3,4,5
1state_Q,1.5907285780770887e-23,1.5025548538635431e-24,6.071665082457887e-25,3.9605765772185634e-24,8.191905381457827e-25
1state_dZ0_q0_mean,-1.5814696173287888,-1.580010770791392,-1.580875889590134,-1.5797470547272205,-1.5841343583879504
1state_dZ0_q0_sdev,0.03515374649738822,0.03620469536507409,0.036056481133060383,0.03620030803589348,0.037775572122937015
1state_dgV_q0_mean,-2.959691763629391,-3.1328084149485615,-3.13640558428484,-2.948222900998216,-2.8535936826689396
1state_dgV_q0_sdev,0.33339880860956345,0.3589415118610365,0.3669911069719687,0.38477368559887404,0.40707363816650843
1state_dZ0_q1_mean,-1.5763982704131416,-1.5751920465203681,-1.5780034910526333,-1.5764435640202017,-1.5798180966526911
1state_dZ0_q1_sdev,0.03468387118300175,0.035642519452729,0.03552170209959225,0.035684832127574936,0.037206007088829304
1state_dgV_q1_mean,-3.477475754605054,-3.664768440074302,-3.6625559979291893,-3.473030121234974,-3.424571622870379
1state_dgV_q1_sdev,0.3057793993776005,0.34081553039628404,0.34397243058386734,0.35683807253937766,0.37067237559442767
2state_t,1,2,3,4,5
2state_Q,0.8852879019758696,0.9254247545205214,0.9156589807154815,0.9339385495935433,0.9132577491088003
2state_dZ0_q0_mean,-1.4781784144803474,-1.466123202974157,-1.463755884504546,-1.471422908240675,-1.4624576800890472
2state_dZ0_q0_sdev,0.03755300992859442,0.03776278497599394,0.03686042411696741,0.040275133234690806,0.03729345917330556
2state_dgV_q0_mean,-4.169144590153452,-4.147847342603159,-4.22363368248616,-4.4056546156994525,-4.422737179867003
2state_dgV_q0_sdev,0.19874397139183217,0.2146715113776583,0.21320409935138498,0.21921794094220037,0.22370726087087736
2state_dZ0_q1_mean,-1.4844689154136936,-1.4744861495892425,-1.4717224154362738,-1.4796949578907164,-1.4721885454973587
2state_dZ0_q1_sdev,0.03586676183755139,0.03616551637701912,0.035586804496607075,0.03904073452835459,0.03887884435640603
2state_dgV_q1_mean,-3.776050930755858,-3.7611056184300176,-3.853389324305807,-3.990315605553364,-4.042019606337087
2state_dgV_q1_sdev,0.19532927331244837,0.21261957812118232,0.21275326915383005,0.20995836142360919,0.2310137039297454
3state_t,1,2,3,4,5
3state_Q,0.8852879019757951,0.925424754520523,0.9156589807155183,0.9805844807864983,0.9132577491086926
3state_dZ0_q0_mean,-1.478178414461078,-1.4661232029669824,-1.4637558846668954,-1.4586573659983426,-1.4624576799702638
3state_dZ0_q0_sdev,0.0375530099697317,0.03776278504820522,0.036860424244314086,0.04477676979962534,0.037293459119269144
3state_dgV_q0_mean,-4.1691445847960855,-4.147847342909091,-4.2236336880710725,-4.497771685251587,-4.422737178702329
3state_dgV_q0_sdev,0.1987439724390208,0.21467151140110916,0.21320409691909034,0.24428438197074867,0.2237072608907939
3state_dZ0_q1_mean,-1.4844689155449187,-1.474486149567861,-1.4717224154560502,-1.469424797901739,-1.4721885453907577
3state_dZ0_q1_sdev,0.03586676191256513,0.036165516428793544,0.035586804505343975,0.04468136382574154,0.038878844312992246
3state_dgV_q1_mean,-3.7760509239981035,-3.761105618338246,-3.8533893202319507,-4.091788588103213,-4.04201960524266
3state_dgV_q1_sdev,0.1953292748359686,0.21261957811424093,0.21275326783762719,0.24367124241381302,0.2310137038478254
4state_t,1,2,3,4,5
4state_Q,0.8852879019757951,0.925424754520523,0.9156589807155433,0.9805844807864988,0.9132577491086926
4state_dZ0_q0_mean,-1.478178414461078,-1.4661232029669824,-1.4637558846721872,-1.4586573660016164,-1.4624576799702638
4state_dZ0_q0_sdev,0.0375530099720132,0.037762785035016205,0.036860424130700245,0.04477676987131954,0.0372934591173953
4state_dgV_q0_mean,-4.1691445847960855,-4.147847342909091,-4.2236336884485945,-4.497771685713387,-4.422737178702329
4state_dgV_q0_sdev,0.19874397244574674,0.2146715113999393,0.21320409682956545,0.24428438418650666,0.2237072608971451
4state_dZ0_q1_mean,-1.4844689155449187,-1.474486149567861,-1.4717224154597361,-1.4694247978957207,-1.4721885453907577
4state_dZ0_q1_sdev,0.03586676190995364,0.03616551642662854,0.03558680435947568,0.04468136383332378,0.03887884431222346
4state_dgV_q1_mean,-3.7760509239981035,-3.761105618338246,-3.853389320285216,-4.091788587607951,-4.04201960524266
4state_dgV_q1_sdev,0.19532927483358908,0.21261957811703677,0.21275326765333596,0.24367124188341108,0.23101370384136707
